variable,type,label,labelset,dataset_label
h32c,haven_labelled|vctrs_vctr|double,fever/cough: general hispital,NA,NA
h32d,haven_labelled|vctrs_vctr|double,fever/cough: primary health care center,NA,NA
h32e,haven_labelled|vctrs_vctr|double,fever/cough: primary health clinic,NA,NA
h32f,haven_labelled|vctrs_vctr|double,fever/cough: health post,NA,NA
h32g,haven_labelled|vctrs_vctr|double,fever/cough: other public sector,NA,NA
h32h,haven_labelled|vctrs_vctr|double,na - fever/cough: cs public sector,NA,NA
h32i,haven_labelled|vctrs_vctr|double,na - fever/cough: cs public sector,NA,NA
h32j,haven_labelled|vctrs_vctr|double,fever/cough: private hospital,NA,NA
h32k,haven_labelled|vctrs_vctr|double,fever/cough: pharmacy,NA,NA
h32l,haven_labelled|vctrs_vctr|double,fever/cough: private doctor,NA,NA
h32m,haven_labelled|vctrs_vctr|double,fever/cough: private clinic,NA,NA
h32n,haven_labelled|vctrs_vctr|double,fever/cough: patent proprietary medicine vendors (ppmv),NA,NA
h32o,haven_labelled|vctrs_vctr|double,fever/cough: mobile clinic,NA,NA
h32p,haven_labelled|vctrs_vctr|double,fever/cough: maternity center,NA,NA
h32q,haven_labelled|vctrs_vctr|double,fever/cough: other private,NA,NA
h32r,haven_labelled|vctrs_vctr|double,na - fever/cough: cs private medical,NA,NA
h32na,haven_labelled|vctrs_vctr|double,fever/cough: faith-based hospital,NA,NA
h32nb,haven_labelled|vctrs_vctr|double,fever/cough: faith-based clinic,NA,NA
h32nc,haven_labelled|vctrs_vctr|double,fever/cough: other ngo sector,NA,NA
h32nd,haven_labelled|vctrs_vctr|double,na - fever/cough: cs ngo,NA,NA
h32ne,haven_labelled|vctrs_vctr|double,na - fever/cough: cs ngo,NA,NA
h32s,haven_labelled|vctrs_vctr|double,fever/cough: shop,NA,NA
h32t,haven_labelled|vctrs_vctr|double,fever/cough: traditional practitioner,NA,NA
h32u,haven_labelled|vctrs_vctr|double,fever/cough: market,NA,NA
h32v,haven_labelled|vctrs_vctr|double,fever/cough: interant drug seller,NA,NA
h32w,haven_labelled|vctrs_vctr|double,na - fever/cough: cs other sector,NA,NA
h32x,haven_labelled|vctrs_vctr|double,fever/cough: other,NA,NA
h32y,haven_labelled|vctrs_vctr|double,fever/cough: no treatment,NA,NA
h32z,haven_labelled|vctrs_vctr|double,fever/cough: medical treatment,NA,NA
h34,haven_labelled|vctrs_vctr|double,vitamin a in last 6 months,NA,NA
h37a,haven_labelled|vctrs_vctr|double,sp/fansidar taken for fever,NA,NA
h37b,haven_labelled|vctrs_vctr|double,chloroquine taken for fever,NA,NA
h37c,haven_labelled|vctrs_vctr|double,amodiaquine taken for fever,NA,NA
h37d,haven_labelled|vctrs_vctr|double,quinine taken for fever,NA,NA
h37da,haven_labelled|vctrs_vctr|double,quinine injection/iv taken for fever,NA,NA
h37e,haven_labelled|vctrs_vctr|double,combination with artemisinin taken for fever,NA,NA
h37aa,haven_labelled|vctrs_vctr|double,artesunate rectal taken for fever,NA,NA
h37ab,haven_labelled|vctrs_vctr|double,artesunate injection/iv taken for fever,NA,NA
h37f,haven_labelled|vctrs_vctr|double,na - cs antimalarial taken for fever,NA,NA
h37g,haven_labelled|vctrs_vctr|double,na - cs antimalarial taken for fever,NA,NA
h37h,haven_labelled|vctrs_vctr|double,other antimalarial taken for fever,NA,NA
h37i,haven_labelled|vctrs_vctr|double,antibiotic pill/syrup taken for fever,NA,NA
h37j,haven_labelled|vctrs_vctr|double,antibiotic injection taken for fever,NA,NA
h37k,haven_labelled|vctrs_vctr|double,aspirin taken for fever,NA,NA
h37l,haven_labelled|vctrs_vctr|double,acetaminophen/paracetamol/panadol taken for fever,NA,NA
h37m,haven_labelled|vctrs_vctr|double,ibuprofen taken for fever,NA,NA
h37n,haven_labelled|vctrs_vctr|double,amoxicillin taken for fever,NA,NA
h37o,haven_labelled|vctrs_vctr|double,cotrimoxazole taken for fever/cough,NA,NA
h37p,haven_labelled|vctrs_vctr|double,na - cs other for fever/cough,NA,NA
h37q,haven_labelled|vctrs_vctr|double,na - cs other for fever/cough,NA,NA
h37r,haven_labelled|vctrs_vctr|double,na - cs other for fever/cough,NA,NA
h37x,haven_labelled|vctrs_vctr|double,other taken for fever,NA,NA
h37y,haven_labelled|vctrs_vctr|double,nothing taken and didn't seek treatment for fever/cough,NA,NA
h37z,haven_labelled|vctrs_vctr|double,don't know if or what was taken for fever,NA,NA
h38,haven_labelled|vctrs_vctr|double,diarrhea in last 2 weeks: amount offered to drink,NA,NA
h39,haven_labelled|vctrs_vctr|double,diarrhea in last 2 weeks: amount offered to eat,NA,NA
h42,haven_labelled|vctrs_vctr|double,"last 12 months given iron pills, sprinkles or syrup",NA,NA
h43,haven_labelled|vctrs_vctr|double,drugs for intestinal parasites in last 6 months,NA,NA
h44a,haven_labelled|vctrs_vctr|double,place first sought treatment for diarrhea,NA,NA
h46a,haven_labelled|vctrs_vctr|double,place first sought treatment for fever,NA,NA
h46b,haven_labelled|vctrs_vctr|double,number of days after fever began sought advice or treatment,NA,NA
h47,haven_labelled|vctrs_vctr|double,blood taken from child's finger/heel for testing,NA,NA
h70a,haven_labelled|vctrs_vctr|double,past 3 months health care provider measured child's weight,NA,NA
h70b,haven_labelled|vctrs_vctr|double,past 3 months health care provider measured child's length/height,NA,NA
h70c,haven_labelled|vctrs_vctr|double,past 3 months health care provider measured child's upper arm,NA,NA
h71,haven_labelled|vctrs_vctr|double,was respondent told that child had malaria,NA,NA
h80a,haven_labelled|vctrs_vctr|double,last 12 months given: multiple micronutrient powder,NA,NA
h80b,haven_labelled|vctrs_vctr|double,na - last 12 months given: local name ready to use therapeutic food,NA,NA
h80c,haven_labelled|vctrs_vctr|double,na - last 12 months given: local name for ready to use supplemental food,NA,NA
h80d,haven_labelled|vctrs_vctr|double,na - last 12 months given: cs,NA,NA
h80e,haven_labelled|vctrs_vctr|double,na - last 12 months given: cs,NA,NA
h80f,haven_labelled|vctrs_vctr|double,na - last 12 months given: cs,NA,NA
h80g,haven_labelled|vctrs_vctr|double,na - last 12 months given: cs,NA,NA
ml20a,haven_labelled|vctrs_vctr|double,timing of start of combination with artemisinin,NA,NA
hwidx,numeric,index to birth history,NA,NA
hw1,numeric,child's age in months,NA,NA
hw2,haven_labelled|vctrs_vctr|double,child's weight in kilograms (1 decimal),NA,NA
hw3,haven_labelled|vctrs_vctr|double,child's height in centimeters (1 decimal),NA,NA
hw13,haven_labelled|vctrs_vctr|double,result of measurement - height/weight,NA,NA
hw15,haven_labelled|vctrs_vctr|double,height: lying or standing,NA,NA
hw16,haven_labelled|vctrs_vctr|double,day of birth of child,NA,NA
hw17,numeric,date measured (day),NA,NA
hw18,numeric,date measured (month),NA,NA
hw19,numeric,date measured (year),NA,NA
hw51,haven_labelled|vctrs_vctr|double,line number of parent/caretaker,NA,NA
hw52,haven_labelled|vctrs_vctr|double,read consent statement - hemoglobin,NA,NA
hw53,haven_labelled|vctrs_vctr|double,hemoglobin level (g/dl - 1 decimal),NA,NA
hw55,haven_labelled|vctrs_vctr|double,result of measurement - hemoglobin,NA,NA
hw56,haven_labelled|vctrs_vctr|double,hemoglobin level adjusted for altitude (g/dl - 1 decimal),NA,NA
hw56a,haven_labelled|vctrs_vctr|double,hemoglobin level adjusted for altitude (g/dl - 1 decimal) (new who),NA,NA
hw57,haven_labelled|vctrs_vctr|double,anemia level,NA,NA
hw57a,haven_labelled|vctrs_vctr|double,anemia level (new who),NA,NA
hw58,haven_labelled|vctrs_vctr|double,na - agrees to referral - anemia,NA,NA
hw70,haven_labelled|vctrs_vctr|double,height/age standard deviation (new who),NA,NA
hw71,haven_labelled|vctrs_vctr|double,weight/age standard deviation (new who),NA,NA
hw72,haven_labelled|vctrs_vctr|double,weight/height standard deviation (new who),NA,NA
hw73,haven_labelled|vctrs_vctr|double,bmi standard deviation (new who),NA,NA
gidx,numeric,daughter's index to birth history,NA,NA
g121,haven_labelled|vctrs_vctr|double,is daughter circumcised,NA,NA
g122,haven_labelled|vctrs_vctr|double,daughter's age at circumcision,NA,NA
g123,haven_labelled|vctrs_vctr|double,was daughter genital area sewn closed,NA,NA
g124,haven_labelled|vctrs_vctr|double,who performed daughter's circumcision,NA,NA
s107,haven_labelled|vctrs_vctr|double,province/state lived before moved to place of interview,NA,NA
s114,haven_labelled|vctrs_vctr|double,highest educational level,NA,NA
s115,haven_labelled|vctrs_vctr|double,highest class at that level,NA,NA
sstate,haven_labelled|vctrs_vctr|double,state (codes are as per sample frame),NA,NA
szone,haven_labelled|vctrs_vctr|double,zone (for final report),NA,NA
sstate1,haven_labelled|vctrs_vctr|double,state (for final report),NA,NA
s816a,haven_labelled|vctrs_vctr|double,heard/seen family planning message: as for me and my partner,NA,NA
s816b,haven_labelled|vctrs_vctr|double,heard/seen family planning message: unspaced children,NA,NA
s816c,haven_labelled|vctrs_vctr|double,heard/seen family planning message: well-spaced children,NA,NA
s816d,haven_labelled|vctrs_vctr|double,heard/seen family planning message: it's not too late,NA,NA
s816e,haven_labelled|vctrs_vctr|double,heard/seen family planning message: why is your wife,NA,NA
s816x,haven_labelled|vctrs_vctr|double,heard/seen family planning message: other,NA,NA
s916a,haven_labelled|vctrs_vctr|double,number of accumulated hours per day spent on unpaid domestic work,NA,NA
s916b,haven_labelled|vctrs_vctr|double,domestic work is the role of women,NA,NA
s1035b,haven_labelled|vctrs_vctr|double,knows husband/partner's hiv status,NA,NA
s1045e,haven_labelled|vctrs_vctr|double,offered hiv test,NA,NA
s1047a,haven_labelled|vctrs_vctr|double,stis prevent women from getting pregnant in future,NA,NA
s1047b,haven_labelled|vctrs_vctr|double,stis prevent men from fathering children in future,NA,NA
s1109a,haven_labelled|vctrs_vctr|double,heard of tb,NA,NA
s1109ba,haven_labelled|vctrs_vctr|double,way of tb spread: through coughing and sneezing,NA,NA
s1109bb,haven_labelled|vctrs_vctr|double,way of tb spread: through sharing utensil,NA,NA
s1109bc,haven_labelled|vctrs_vctr|double,way of tb spread: through touching a person with tb,NA,NA
s1109bd,haven_labelled|vctrs_vctr|double,way of tb spread: through food,NA,NA
s1109be,haven_labelled|vctrs_vctr|double,way of tb spread: through sexual contact,NA,NA
s1109bf,haven_labelled|vctrs_vctr|double,way of tb spread: through mosquito bites,NA,NA
s1109bx,haven_labelled|vctrs_vctr|double,way of tb spread: through other,NA,NA
s1109bz,haven_labelled|vctrs_vctr|double,way of tb spread: don't know,NA,NA
s1109ca,haven_labelled|vctrs_vctr|double,sign and symtoms of tb: persistent cough (2 weeks or more),NA,NA
s1109cb,haven_labelled|vctrs_vctr|double,sign and symtoms of tb: coughing with sputum,NA,NA
s1109cc,haven_labelled|vctrs_vctr|double,sign and symtoms of tb: weight loss,NA,NA
s1109cd,haven_labelled|vctrs_vctr|double,sign and symtoms of tb: coughing blood,NA,NA
s1109ce,haven_labelled|vctrs_vctr|double,sign and symtoms of tb: fever,NA,NA
s1109cf,haven_labelled|vctrs_vctr|double,sign and symtoms of tb: night sweats,NA,NA
s1109cg,haven_labelled|vctrs_vctr|double,sign and symtoms of tb: shortness of breath,NA,NA
s1109ch,haven_labelled|vctrs_vctr|double,sign and symtoms of tb: loss of appetite,NA,NA
s1109ci,haven_labelled|vctrs_vctr|double,sign and symtoms of tb: chest pain,NA,NA
s1109cj,haven_labelled|vctrs_vctr|double,sign and symtoms of tb: fatigue/tiredness,NA,NA
s1109cx,haven_labelled|vctrs_vctr|double,sign and symtoms of tb: other,NA,NA
s1109cz,haven_labelled|vctrs_vctr|double,sign and symtoms of tb: don't know,NA,NA
s1109d,haven_labelled|vctrs_vctr|double,tb can be cured,NA,NA
s1109e,haven_labelled|vctrs_vctr|double,would keep it secret if family go tb,NA,NA
s1109fa,haven_labelled|vctrs_vctr|double,belief about tb: individual with tb should be admitted until disease is over,NA,NA
s1109fb,haven_labelled|vctrs_vctr|double,belief about tb: individuals with tb should be supported to take drugs,NA,NA
s1109fc,haven_labelled|vctrs_vctr|double,belief about tb: will not marry from family with tb,NA,NA
s1109fd,haven_labelled|vctrs_vctr|double,belief about tb: will not use same toilet as someone with tb,NA,NA
s1109fe,haven_labelled|vctrs_vctr|double,belief about tb: people with tb brought it on themselves,NA,NA
s1109ff,haven_labelled|vctrs_vctr|double,belief about tb: having tb is a punishment from god,NA,NA
s1112a,haven_labelled|vctrs_vctr|double,heard of viral hepatitis b,NA,NA
s1112b,haven_labelled|vctrs_vctr|double,tested for viral hepatitis b,NA,NA
s1112c,haven_labelled|vctrs_vctr|double,result of test,NA,NA
s1112d,haven_labelled|vctrs_vctr|double,treated for viral hepatitis b in last year,NA,NA
s1112e,haven_labelled|vctrs_vctr|double,vaccinated for hep b,NA,NA
s1112ea,haven_labelled|vctrs_vctr|double,heard of hep c,NA,NA
s1112eb,haven_labelled|vctrs_vctr|double,tested for hep c in last 12 months,NA,NA
s1112ec,haven_labelled|vctrs_vctr|double,result of test,NA,NA
s1112ed,haven_labelled|vctrs_vctr|double,treated for hep c in last 12 months,NA,NA
s1112ga,haven_labelled|vctrs_vctr|double,tested during antenatal care: hep b,NA,NA
s1112gb,haven_labelled|vctrs_vctr|double,tested during antenatal care: hep c,NA,NA
s1112ha,haven_labelled|vctrs_vctr|double,result of test: hep b,NA,NA
s1112hb,haven_labelled|vctrs_vctr|double,result of test: hep c,NA,NA
s1112j,haven_labelled|vctrs_vctr|double,child vaccinated or treated for hep b,NA,NA
s1112k,haven_labelled|vctrs_vctr|double,heard of covid-19,NA,NA
s1112la,haven_labelled|vctrs_vctr|double,source of information: community health workers,NA,NA
s1112lb,haven_labelled|vctrs_vctr|double,source of information: other frontline workers from i/ngo,NA,NA
s1112lc,haven_labelled|vctrs_vctr|double,source of information: radio program,NA,NA
s1112ld,haven_labelled|vctrs_vctr|double,source of information: sms/text messaging,NA,NA
s1112le,haven_labelled|vctrs_vctr|double,source of information: health facility,NA,NA
s1112lf,haven_labelled|vctrs_vctr|double,source of information: photo counseling,NA,NA
s1112lg,haven_labelled|vctrs_vctr|double,source of information: television,NA,NA
s1112lh,haven_labelled|vctrs_vctr|double,source of information: mobile ring tone,NA,NA
s1112li,haven_labelled|vctrs_vctr|double,source of information: afmily/relatives/friends/neighbors,NA,NA
s1112lj,haven_labelled|vctrs_vctr|double,source of information: social media,NA,NA
s1112lx,haven_labelled|vctrs_vctr|double,source of information: other,NA,NA
s1112lz,haven_labelled|vctrs_vctr|double,source of information: don't know,NA,NA
s1112ma,haven_labelled|vctrs_vctr|double,symptoms of covid-19: fever,NA,NA
s1112mb,haven_labelled|vctrs_vctr|double,symptoms of covid-19: cough,NA,NA
s1112mc,haven_labelled|vctrs_vctr|double,symptoms of covid-19: shortness of breath and breathing difficulties,NA,NA
s1112md,haven_labelled|vctrs_vctr|double,symptoms of covid-19: muscle pain,NA,NA
s1112me,haven_labelled|vctrs_vctr|double,symptoms of covid-19: headache,NA,NA
s1112mf,haven_labelled|vctrs_vctr|double,symptoms of covid-19: loss of taste or smell,NA,NA
s1112mg,haven_labelled|vctrs_vctr|double,symptoms of covid-19: diarrhea,NA,NA
s1112mh,haven_labelled|vctrs_vctr|double,symptoms of covid-19: common cold and running nose,NA,NA
s1112mx,haven_labelled|vctrs_vctr|double,symptoms of covid-19: other,NA,NA
s1112mz,haven_labelled|vctrs_vctr|double,symptoms of covid-19: don't know,NA,NA
s1112na,haven_labelled|vctrs_vctr|double,risks for spread: essential worker,NA,NA
s1112nb,haven_labelled|vctrs_vctr|double,risks for spread: immunocompromised,NA,NA
s1112nc,haven_labelled|vctrs_vctr|double,risks for spread: not wearing a mask,NA,NA
s1112nd,haven_labelled|vctrs_vctr|double,risks for spread: poor room ventilation,NA,NA
s1112ne,haven_labelled|vctrs_vctr|double,risks for spread: senior citizen,NA,NA
s1112nf,haven_labelled|vctrs_vctr|double,risks for spread: not being vaccinated,NA,NA
s1112ng,haven_labelled|vctrs_vctr|double,risks for spread: not maintaining social distance,NA,NA
s1112nx,haven_labelled|vctrs_vctr|double,risks for spread: other,NA,NA
s1112nz,haven_labelled|vctrs_vctr|double,risks for spread: don't know,NA,NA
s1112oa,haven_labelled|vctrs_vctr|double,measures taken to reduce risk:  wearing as mask,NA,NA
s1112ob,haven_labelled|vctrs_vctr|double,measures taken to reduce risk: washing hands properly,NA,NA
s1112oc,haven_labelled|vctrs_vctr|double,measures taken to reduce risk: using sanitizer,NA,NA
s1112od,haven_labelled|vctrs_vctr|double,measures taken to reduce risk: maintaining distance,NA,NA
s1112oe,haven_labelled|vctrs_vctr|double,measures taken to reduce risk: avoid touching eyes/nose/mouth,NA,NA
s1112of,haven_labelled|vctrs_vctr|double,measures taken to reduce risk: practice respiratory hygiene,NA,NA
s1112og,haven_labelled|vctrs_vctr|double,measures taken to reduce risk: get vaccinated,NA,NA
s1112oh,haven_labelled|vctrs_vctr|double,measures taken to reduce risk: focus on cleanliness,NA,NA
s1112oi,haven_labelled|vctrs_vctr|double,measures taken to reduce risk: drink hot water (with or without herbs),NA,NA
s1112ox,haven_labelled|vctrs_vctr|double,measures taken to reduce risk: other,NA,NA
s1112oz,haven_labelled|vctrs_vctr|double,measures taken to reduce risk: did nothing,NA,NA
s1112p,haven_labelled|vctrs_vctr|double,received covid-19 vaccination,NA,NA
s1112q,haven_labelled|vctrs_vctr|double,type of covid-19 vaccination received,NA,NA
s1112r,haven_labelled|vctrs_vctr|double,number of doses of covid-19 vaccination received,NA,NA
s1112s,haven_labelled|vctrs_vctr|double,willing to be vaccinated against covid-19,NA,NA
s1112t,haven_labelled|vctrs_vctr|double,bitten by snake,NA,NA
s1112u,haven_labelled|vctrs_vctr|double,sought health care attention after bite,NA,NA
s1112v,haven_labelled|vctrs_vctr|double,source of care sought after bite,NA,NA
s1112w,haven_labelled|vctrs_vctr|double,given snake antivenom,NA,NA
sgc6aa,haven_labelled|vctrs_vctr|double,type of procedure performed: removal of clitoris with partial or total excision,NA,NA
sgc6ab,haven_labelled|vctrs_vctr|double,type of procedure performed: infibulation,NA,NA
sgc6ac,haven_labelled|vctrs_vctr|double,type of procedure performed: scraping of tissue surrounding the vaginal orifice,NA,NA
sgc6ad,haven_labelled|vctrs_vctr|double,type of procedure performed: cutting of the vagina,NA,NA
sgc6b,haven_labelled|vctrs_vctr|double,ever used corrosive substance or herbs into vagina,NA,NA
s311a,haven_labelled|vctrs_vctr|double,intends to use fp after end of pregnancy,NA,NA
idx92,haven_labelled|vctrs_vctr|double,index to birth history,NA,NA
idx92p,numeric,index to pregnancy history,NA,NA
s228ad,haven_labelled|vctrs_vctr|double,day of death,NA,NA
s228am,haven_labelled|vctrs_vctr|double,month of death,NA,NA
s228ay,numeric,year of death,NA,NA
idx94,haven_labelled|vctrs_vctr|double,index to birth history,NA,NA
idx94p,numeric,index to pregnancy history,NA,NA
s418aa,haven_labelled|vctrs_vctr|double,antenatal care fp counselling: all methods appropriate,NA,NA
s418ab,haven_labelled|vctrs_vctr|double,antenatal care fp counselling: possible side effects,NA,NA
s418ac,haven_labelled|vctrs_vctr|double,antenatal care fp counselling: lam,NA,NA
s418ad,haven_labelled|vctrs_vctr|double,antenatal care fp counselling: transition from lam to other modern methods,NA,NA
s418ae,haven_labelled|vctrs_vctr|double,antenatal care fp counselling: spacing pregnancies,NA,NA
s418af,haven_labelled|vctrs_vctr|double,antenatal care fp counselling: fertility intentions,NA,NA
s418ag,haven_labelled|vctrs_vctr|double,antenatal care fp counselling: return to facility,NA,NA
s473aa,haven_labelled|vctrs_vctr|double,"during first two days, feeling nervous and anxious",NA,NA
s473ab,haven_labelled|vctrs_vctr|double,"during first two days, feeling depressed or hopeless",NA,NA
s473ac,haven_labelled|vctrs_vctr|double,"during first two days, losing interest or pleasure in doing anything",NA,NA
s473ad,haven_labelled|vctrs_vctr|double,"during first two days, thinking of committing suicide",NA,NA
s474aa,haven_labelled|vctrs_vctr|double,pnc fp counselling: all methods appropriate,NA,NA
s474ab,haven_labelled|vctrs_vctr|double,pnc fp counselling: possible side effects,NA,NA
s474ac,haven_labelled|vctrs_vctr|double,pnc fp counselling: lam,NA,NA
s474ad,haven_labelled|vctrs_vctr|double,pnc fp counselling: transition from lam to other modern methods,NA,NA
s474ae,haven_labelled|vctrs_vctr|double,pnc fp counselling: spacing pregnancies,NA,NA
s474af,haven_labelled|vctrs_vctr|double,pnc fp counselling: fertility intentions,NA,NA
s474ag,haven_labelled|vctrs_vctr|double,pnc fp counselling: return to facility,NA,NA
idx95,numeric,index to birth history,NA,NA
sipv2,haven_labelled|vctrs_vctr|double,received inactivated polio - 2 (ipv-2) - cs,NA,NA
sipv2d,haven_labelled|vctrs_vctr|double,inactivated polio - 2 (ipv2) day - cs,NA,NA
sipv2m,haven_labelled|vctrs_vctr|double,inactivated polio-2 (ipv2) month - cs,NA,NA
sipv2y,haven_labelled|vctrs_vctr|double,inactivated polio-2 (ipv2) year - cs,NA,NA
syf,haven_labelled|vctrs_vctr|double,received yellow fever vaccine - cs,NA,NA
syfd,haven_labelled|vctrs_vctr|double,yellow fever vaccine day - cs,NA,NA
syfm,haven_labelled|vctrs_vctr|double,yellow fever vaccine month - cs,NA,NA
syfy,haven_labelled|vctrs_vctr|double,yellow fever vaccine year - cs,NA,NA
smg,haven_labelled|vctrs_vctr|double,received meningitis vaccine - cs,NA,NA
smgd,haven_labelled|vctrs_vctr|double,meningitis vaccine vaccine day - cs,NA,NA
smgm,haven_labelled|vctrs_vctr|double,meningitis vaccine month - cs,NA,NA
smgy,haven_labelled|vctrs_vctr|double,meningitis vaccine year - cs,NA,NA
idx96,numeric,index to birth history,NA,NA
s612ba,haven_labelled|vctrs_vctr|double,examined at pharmacy/ppms - diarrhea,NA,NA
s612bb,haven_labelled|vctrs_vctr|double,advice on medicine to buy,NA,NA
s612bc,haven_labelled|vctrs_vctr|double,knew what medicine to buy,NA,NA
s617a,haven_labelled|vctrs_vctr|double,place medicine obtained for diarrhea,NA,NA
s626ba,haven_labelled|vctrs_vctr|double,examined at pharmacy/ppms - cough/fever,NA,NA
s626bb,haven_labelled|vctrs_vctr|double,advice on medicine to buy,NA,NA
s626bc,haven_labelled|vctrs_vctr|double,knew what medicine to buy,NA,NA
s631a,haven_labelled|vctrs_vctr|double,place medicine obtained for cough/fever,NA,NA
